dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25
0,1155,1165,1156,1156,1111,1125,1113,1154,1210,1178,1164,1171,1164,1159,1086,1150,1141,1143,1201,1126,1132,1129,1176,1185
1155,0,1137,1175,1154,1125,1139,1119,1151,1187,1164,1150,1145,1170,1141,1084,1123,1143,1113,1193,1123,1135,1143,1155,1200
1165,1137,0,1178,1161,1137,1140,1103,1165,1199,1176,1123,1170,1161,1168,1089,1133,1159,1149,1209,1132,1169,1131,1172,1208
1156,1175,1178,0,1141,1140,1097,1116,1174,1196,1199,1164,1179,1149,1120,1094,1121,1124,1175,1200,1152,1172,1143,1185,1198
1156,1154,1161,1141,0,1106,1139,1126,1126,1205,1194,1132,1181,1171,1146,1106,1111,1155,1150,1218,1174,1132,1125,1176,1193
1111,1125,1137,1140,1106,0,1085,1066,1140,1155,1107,1133,1131,1114,1093,1061,1112,1121,1127,1170,1091,1113,1080,1150,1156
1125,1139,1140,1097,1139,1085,0,1103,1116,1181,1155,1123,1132,1151,1094,1090,1110,1136,1107,1191,1096,1136,1099,1145,1158
1113,1119,1103,1116,1126,1066,1103,0,1097,1183,1159,1106,1125,1145,1095,1060,1075,1106,1084,1160,1096,1124,1082,1108,1161
1154,1151,1165,1174,1126,1140,1116,1097,0,1223,1146,1155,1168,1163,1125,1085,1131,1129,1154,1219,1131,1122,1110,1118,1180
1210,1187,1199,1196,1205,1155,1181,1183,1223,0,1229,1217,1196,1227,1176,1168,1177,1196,1198,1266,1172,1162,1176,1215,1256
1178,1164,1176,1199,1194,1107,1155,1159,1146,1229,0,1161,1189,1175,1162,1097,1146,1166,1159,1256,1162,1169,1171,1180,1198
1164,1150,1123,1164,1132,1133,1123,1106,1155,1217,1161,0,1161,1159,1140,1107,1142,1166,1148,1224,1151,1164,1133,1170,1213
1171,1145,1170,1179,1181,1131,1132,1125,1168,1196,1189,1161,0,1152,1158,1113,1152,1178,1142,1245,1156,1172,1128,1175,1183
1164,1170,1161,1149,1171,1114,1151,1145,1163,1227,1175,1159,1152,0,1167,1118,1132,1124,1143,1236,1140,1171,1136,1169,1195
1159,1141,1168,1120,1146,1093,1094,1095,1125,1176,1162,1140,1158,1167,0,1069,1100,1117,1131,1190,1134,1140,1102,1150,1153
1086,1084,1089,1094,1106,1061,1090,1060,1085,1168,1097,1107,1113,1118,1069,0,1045,1086,1102,1139,1098,1083,1074,1106,1132
1150,1123,1133,1121,1111,1112,1110,1075,1131,1177,1146,1142,1152,1132,1100,1045,0,1133,1117,1165,1121,1110,1094,1126,1166
1141,1143,1159,1124,1155,1121,1136,1106,1129,1196,1166,1166,1178,1124,1117,1086,1133,0,1136,1221,1137,1152,1100,1152,1190
1143,1113,1149,1175,1150,1127,1107,1084,1154,1198,1159,1148,1142,1143,1131,1102,1117,1136,0,1198,1138,1112,1113,1137,1180
1201,1193,1209,1200,1218,1170,1191,1160,1219,1266,1256,1224,1245,1236,1190,1139,1165,1221,1198,0,1197,1168,1174,1203,1239
1126,1123,1132,1152,1174,1091,1096,1096,1131,1172,1162,1151,1156,1140,1134,1098,1121,1137,1138,1197,0,1129,1082,1149,1157
1132,1135,1169,1172,1132,1113,1136,1124,1122,1162,1169,1164,1172,1171,1140,1083,1110,1152,1112,1168,1129,0,1099,1165,1181
1129,1143,1131,1143,1125,1080,1099,1082,1110,1176,1171,1133,1128,1136,1102,1074,1094,1100,1113,1174,1082,1099,0,1134,1164
1176,1155,1172,1185,1176,1150,1145,1108,1118,1215,1180,1170,1175,1169,1150,1106,1126,1152,1137,1203,1149,1165,1134,0,1216
1185,1200,1208,1198,1193,1156,1158,1161,1180,1256,1198,1213,1183,1195,1153,1132,1166,1190,1180,1239,1157,1181,1164,1216,0
