dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
24,31,24,32,37,33,21,26,36,25,26,27,31,27,23,28,28,25,15,26,29,30,35,33,21,20,29,32,24,40,29,24,35,29,34,21,26,24,22,19,20,29,21,26,29,28,27,12,29,20,29,34,29,26,21,30,25,31,29,30
29,28,31,31,33,30,20,21,26,33,35,35,36,19,18,36,28,19,21,26,32,17,31,30,30,24,36,22,28,28,25,28,31,28,31,24,25,29,32,26,32,35,23,30,26,30,29,27,27,32,22,28,41,33,21,35,32,15,25,25
27,27,26,26,28,28,28,29,23,29,22,25,27,31,27,29,33,30,26,21,20,25,23,24,31,27,29,22,25,24,21,26,27,27,23,22,31,26,24,26,23,25,23,26,22,26,28,22,28,27,31,31,24,21,23,27,31,28,32,29
31,26,18,33,34,36,33,24,25,39,24,26,28,18,22,36,35,32,22,36,28,30,29,22,28,24,20,33,32,30,23,26,26,37,29,30,32,31,27,32,28,37,35,39,26,29,29,18,30,33,20,38,40,32,36,24,28,28,31,30
24,30,30,30,31,28,28,31,25,34,25,32,27,41,22,30,34,26,30,30,22,35,31,29,36,36,33,38,32,31,29,30,40,32,32,23,25,34,22,27,35,29,35,28,28,29,19,32,26,30,34,32,41,31,26,32,31,32,33,24
16,20,34,26,23,32,33,23,31,25,32,24,40,20,35,33,24,27,30,34,22,18,24,32,31,27,24,32,34,27,28,32,33,35,31,31,30,27,27,23,37,29,33,29,31,20,35,21,24,33,29,28,28,25,30,20,27,30,27,26
30,20,23,30,30,25,30,26,19,33,32,28,21,34,16,29,25,27,28,22,22,22,30,28,31,28,29,22,33,27,21,27,27,29,31,24,36,33,25,24,29,26,23,27,31,34,26,20,22,14,26,21,25,33,21,28,27,28,30,28
19,24,15,26,25,21,31,29,36,33,26,28,29,18,26,27,30,25,22,33,22,22,31,28,20,19,34,25,25,34,25,35,26,27,25,24,27,37,27,32,30,37,34,21,28,28,29,34,40,25,29,34,41,26,27,26,23,19,30,33
21,28,21,27,21,26,27,20,29,37,27,34,32,28,32,24,28,27,33,28,20,18,22,24,28,22,24,24,27,25,23,30,28,30,18,29,30,30,27,29,29,38,26,35,28,21,27,36,24,20,28,29,30,26,17,25,28,23,20,22
24,37,35,35,43,27,34,33,30,32,34,25,26,33,23,34,25,27,36,22,28,22,43,38,35,35,36,34,34,33,39,28,33,41,35,39,33,38,35,29,35,35,41,29,27,43,27,40,32,30,37,31,37,39,34,31,34,24,29,36
23,35,23,31,34,21,30,20,22,45,28,21,38,28,25,28,33,27,21,35,22,17,36,27,30,31,37,50,25,32,25,34,25,21,40,29,37,28,32,25,29,29,34,29,36,31,26,29,35,23,25,18,37,34,26,29,32,36,35,32
24,21,21,27,34,21,38,34,30,32,20,22,28,20,16,27,25,19,23,25,15,26,32,33,24,20,29,23,25,25,21,32,25,37,31,29,31,27,26,29,29,23,23,26,36,28,30,21,29,32,30,26,31,32,20,24,25,20,35,29
32,32,18,24,33,29,25,26,34,41,38,33,23,37,22,30,33,27,27,20,20,28,29,31,32,21,30,24,25,30,21,36,30,38,30,32,37,23,29,24,35,31,25,29,30,28,25,24,33,32,24,26,33,21,27,25,30,31,41,30
27,32,30,34,33,33,19,25,15,29,28,23,27,24,27,27,30,26,19,26,29,24,31,29,29,27,26,30,23,30,27,31,20,39,27,24,24,30,24,25,22,32,34,30,28,26,18,31,28,23,25,34,31,35,22,31,31,26,26,22
