dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
0,24,23,28,33,30,17,21,18,30,19,20,32,20,9,18,21,18,27,17,20,15,26,19,24,22,21,27,17,20,17,23,27,24,20,24,32,21,21,20,20,22,23,30,29,29,23,35,29,26,30,24,21,24,19,29,16,23,23,15
24,0,23,21,25,26,20,24,16,29,33,22,19,28,24,28,23,31,19,17,25,24,24,21,20,15,27,29,20,27,16,32,18,29,35,21,24,23,16,14,23,22,29,22,23,22,17,27,30,32,31,26,25,24,17,26,23,23,24,22
23,23,0,18,30,13,23,20,21,24,24,10,30,27,21,26,20,20,22,28,18,20,30,22,29,11,27,20,23,14,17,26,19,25,27,25,26,19,16,24,19,27,26,23,23,25,24,21,22,18,24,22,27,23,12,27,22,27,13,24
28,21,18,0,25,28,17,17,22,25,19,24,31,27,21,24,30,30,25,16,29,15,22,22,28,19,32,28,34,32,22,21,26,25,20,27,26,34,26,21,21,21,24,33,28,28,28,23,26,18,28,36,31,29,16,32,16,22,28,25
33,25,30,25,0,23,18,20,21,35,38,26,21,26,24,28,25,31,20,25,17,22,33,34,31,17,38,23,21,25,21,30,38,30,30,24,27,26,28,23,23,27,26,26,20,31,21,22,20,16,28,26,26,27,16,26,25,27,28,22
30,26,13,28,23,0,21,16,14,29,30,21,28,24,23,22,28,24,32,23,15,27,23,30,28,19,17,35,23,22,21,17,30,38,29,22,29,22,26,25,26,18,25,20,26,25,19,20,24,29,25,22,31,14,17,29,21,21,23,22
17,20,23,17,18,21,0,26,23,23,24,23,23,23,15,23,19,17,21,23,17,22,21,28,23,18,23,17,24,24,25,28,23,23,27,19,24,28,30,21,30,22,27,24,25,27,18,12,17,27,26,20,28,24,25,25,23,22,22,22
21,24,20,17,20,16,26,0,19,24,31,24,17,20,19,11,22,28,19,14,23,25,33,21,27,16,28,25,19,32,18,31,31,30,16,31,27,27,26,20,20,26,31,28,23,21,22,30,27,21,26,26,33,21,17,29,16,22,25,23
18,16,21,22,21,14,23,19,0,20,24,20,19,19,17,18,22,24,24,20,23,24,28,26,27,14,12,17,18,24,20,28,26,24,25,27,27,19,26,17,36,28,25,26,25,28,24,19,26,20,24,21,27,33,22,22,24,22,15,25
30,29,24,25,35,29,23,24,20,0,32,30,28,26,24,27,28,18,27,28,29,17,33,32,34,17,31,35,26,28,24,31,40,36,31,29,31,30,22,25,28,31,31,26,28,28,32,19,31,27,22,25,34,33,21,34,29,26,26,26
19,33,24,19,38,30,24,31,24,32,0,23,30,24,17,30,23,19,30,22,17,21,22,27,26,22,33,22,17,32,18,21,30,22,29,29,34,20,29,28,27,22,28,21,23,34,21,29,21,21,25,22,29,25,18,30,29,22,22,20
20,22,10,24,26,21,23,24,20,30,23,0,19,21,15,25,20,19,28,21,20,24,14,26,19,18,23,23,19,26,22,34,29,25,22,20,34,20,20,21,25,20,22,29,27,28,24,21,19,23,16,28,23,28,16,26,21,15,18,31
32,19,30,31,21,28,23,17,19,28,30,19,0,26,16,25,33,17,19,28,23,20,13,28,32,30,30,17,33,22,27,24,32,22,28,20,20,20,22,24,34,32,25,21,21,27,22,13,22,27,31,22,33,31,16,24,24,26,23,23
20,28,27,27,26,24,23,20,19,26,24,21,26,0,17,15,22,20,19,18,26,20,29,26,23,25,14,25,32,31,21,26,29,23,30,31,18,28,25,19,22,23,20,26,22,32,19,20,19,24,24,24,21,21,21,24,12,22,21,25
9,24,21,21,24,23,15,19,17,24,17,15,16,17,0,27,23,25,20,24,15,22,23,19,25,14,19,21,20,27,22,19,23,26,24,20,22,22,23,17,24,27,21,11,25,13,19,21,23,18,21,19,22,18,18,13,26,17,24,16
18,28,26,24,28,22,23,11,18,27,30,25,25,15,27,0,26,26,25,35,25,28,28,26,17,17,29,27,20,23,19,27,24,34,32,26,30,33,26,15,22,31,25,27,31,27,22,19,23,24,19,24,27,24,23,22,32,26,23,24
21,23,20,30,25,28,19,22,22,28,23,20,33,22,23,26,0,29,27,27,17,24,21,23,21,21,27,27,23,28,20,29,30,29,29,22,30,27,27,29,26,29,27,25,23,22,27,33,29,28,25,33,32,21,21,23,20,18,21,20
